Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
A Boogie Wit da Hoodie ,Big Shit,1,0,178,0,292734,292734,2020/2/14,melodic rap,Hip Hop
Slipknot ,Critical Darling,1,0,125,0,292679,292679,2019/8/9,alternative metal,Metal
A Boogie Wit da Hoodie ,Playa,1,0,125,0,292678,292678,2023/2/24,melodic rap,Hip Hop
Tyga ,Gucci Snakes,2,0,158,0,154281,292633,2018/11/13,hip hop,Hip Hop
Lil Pump ,Smoke My Dope,1,0,109,0,292626,292626,2017/10/6,emo rap,Hip Hop
Logic ,A Word From Our Sponsor,2,0,158,0,154645,292558,2016/7/1,conscious hip hop,Hip Hop
Ellie Goulding ,Love I’m Given,1,0,111,0,292474,292474,2020/7/16,indietronica,Pop
Machine Gun Kelly ,banyan tree  interlude,1,0,131,0,292291,292291,2020/9/25,ohio hip hop,Hip Hop
Chloe x Halle ,Do It,1,0,135,0,292177,292177,2024/2/9,r&b,R&B
Trippie Redd ,Mood,1,0,129,0,292127,292127,2021/3/26,melodic rap,Hip Hop
PARTYNEXTDOOR ,NEVER AGAIN,1,0,136,0,292101,292101,2024/1/11,r&b,R&B
Vince Staples ,So What?  Episode 01,1,0,131,0,292074,292074,2019/8/22,conscious hip hop,Hip Hop
John Legend ,A Good Night,1,0,112,0,292012,292012,2018/4/6,neo soul,R&B
Rick Ross ,Sorry,3,0,193,0,100795,291991,2015/11/13,dirty south rap,Hip Hop
Don Toliver ,Smoke,1,0,110,0,291811,291811,2022/11/22,pop rap,Hip Hop
AJR ,100 Bad Days,1,0,139,0,291770,291770,2019/4/26,pov: indie,Pop
NAV ,Baby,1,0,129,0,291759,291759,2017/7/27,canadian hip hop,Hip Hop
Russ ,RENT FREE,1,0,136,0,291693,291693,2019/9/13,hawaiian hip hop,Hip Hop
Jacquees ,Your Peace,1,0,141,0,291608,291608,2021/8/27,atl hip hop,Hip Hop
Swedish House Mafia ,Heaven Takes You Home,1,0,105,0,291592,291592,2022/4/15,edm,Electronic
Lil Yachty ,Riley From The Boondocks,1,0,149,0,291465,291465,2018/10/19,atl hip hop,Hip Hop
Kodak Black ,Transgression,1,0,168,0,291356,291356,2018/12/14,florida drill,Hip Hop
The 1975 ,The Birthday Party,1,0,157,0,291268,291268,2020/5/22,modern alternative rock,Rock
Lauv ,Love Like That,1,0,121,0,291228,291228,2023/7/21,pop,Pop
Imagine Dragons ,Boomerang,1,0,151,0,291216,291216,2016/6/4,modern rock,Rock
Miley Cyrus ,Wrecking Ball,6,0,171,0,55247,291189,2013/10/4,pop,Pop
Van Halen ,You Really Got Me  2015 Remaster,1,0,102,0,291074,291074,1978/2/10,album rock,Rock
Denzel Curry ,SPEEDBOAT,1,0,142,0,290927,290927,2019/5/31,dark trap,Hip Hop
Pop Smoke ,Mood Swings,1,0,116,0,290913,290913,2020/7/3,brooklyn drill,Hip Hop
David Bowie ,Young Americans (2007 Remastered),2,0,79,0,172774,290887,1975/3/7,art rock,Rock
Dreamville ,Starting 5,1,0,128,0,290848,290848,2024/3/29,hip hop,Hip Hop
Lil Peep ,Fingers,1,0,152,0,290804,290804,2023/7/14,cloud rap,Hip Hop
Pi’erre Bourne ,Sossboy 2,1,0,143,0,290762,290762,2022/4/12,melodic rap,Hip Hop
24kGoldn ,Coco,1,0,162,0,290718,290718,2021/1/8,cali rap,Hip Hop
BTS ,Dynamite  Instrumental,1,0,117,0,290614,290614,2020/8/28,k-pop,Pop
Kid Trunks ,Plottin,1,0,133,0,290598,290598,2019/1/23,asian american hip hop,Hip Hop
Justin Bieber ,Beautiful Love  Free Fire,1,0,136,0,290528,290528,2022/8/30,canadian pop,Pop
Pooh Shiesty ,Certified,1,0,129,0,290510,290510,2023/10/26,memphis hip hop,Hip Hop
YoungBoy Never Broke Again ,Win Your Love,1,0,99,0,290460,290460,2020/4/24,baton rouge rap,Hip Hop
A Boogie Wit da Hoodie ,Pull Up,1,0,180,0,290254,290254,2018/5/11,melodic rap,Hip Hop
Rod Wave ,Shock Da World,1,0,129,0,290235,290235,2021/3/26,florida rap,Hip Hop
BROCKHAMPTON ,TAPE,1,0,137,0,290226,290226,2024/4/5,boy band,Pop
